Month,study data science: (Worldwide),what is data science: (Worldwide)
Jan-04,0,18
Feb-04,0,0
Mar-04,0,22
Apr-04,0,17
May-04,15,0
Jun-04,0,15
Jul-04,0,0
Aug-04,0,0
Sep-04,0,0
Oct-04,0,0
Nov-04,0,0
Dec-04,0,25
Jan-05,0,0
Feb-05,0,23
Mar-05,0,0
Apr-05,11,0
May-05,0,9
Jun-05,0,19
Jul-05,0,10
Aug-05,9,0
Sep-05,9,0
Oct-05,8,8
Nov-05,0,8
Dec-05,8,0
Jan-06,0,13
Feb-06,7,0
Mar-06,12,18
Apr-06,0,7
May-06,0,6
Jun-06,6,12
Jul-06,0,6
Aug-06,0,11
Sep-06,0,0
Oct-06,5,0
Nov-06,0,0
Dec-06,0,5
Jan-07,0,0
Feb-07,0,0
Mar-07,0,0
Apr-07,0,0
May-07,4,7
Jun-07,0,15
Jul-07,0,4
Aug-07,0,7
Sep-07,3,3
Oct-07,0,3
Nov-07,6,3
Dec-07,0,6
Jan-08,0,3
Feb-08,6,9
Mar-08,3,3
Apr-08,3,13
May-08,3,8
Jun-08,3,11
Jul-08,8,8
Aug-08,5,5
Sep-08,0,17
Oct-08,7,4
Nov-08,2,7
Dec-08,7,5
Jan-09,0,8
Feb-09,2,15
Mar-09,2,4
Apr-09,2,10
May-09,6,13
Jun-09,4,11
Jul-09,4,4
Aug-09,4,8
Sep-09,5,25
Oct-09,3,8
Nov-09,2,19
Dec-09,2,15
Jan-10,0,17
Feb-10,5,15
Mar-10,1,18
Apr-10,6,12
May-10,2,17
Jun-10,0,8
Jul-10,1,6
Aug-10,4,10
Sep-10,5,23
Oct-10,3,19
Nov-10,3,11
Dec-10,1,12
Jan-11,4,28
Feb-11,4,14
Mar-11,1,11
Apr-11,1,12
May-11,4,19
Jun-11,5,17
Jul-11,6,12
Aug-11,2,18
Sep-11,9,30
Oct-11,4,21
Nov-11,4,28
Dec-11,4,18
Jan-12,2,20
Feb-12,4,21
Mar-12,2,23
Apr-12,5,20
May-12,7,16
Jun-12,4,23
Jul-12,2,15
Aug-12,6,22
Sep-12,8,53
Oct-12,6,27
Nov-12,3,20
Dec-12,2,18
Jan-13,5,32
Feb-13,3,35
Mar-13,8,18
Apr-13,4,25
May-13,5,28
Jun-13,6,22
Jul-13,3,13
Aug-13,4,34
Sep-13,11,64
Oct-13,8,30
Nov-13,3,25
Dec-13,1,22
Jan-14,7,37
Feb-14,1,35
Mar-14,5,30
Apr-14,2,23
May-14,4,28
Jun-14,8,29
Jul-14,6,20
Aug-14,7,34
Sep-14,8,57
Oct-14,8,39
Nov-14,4,36
Dec-14,9,28
Jan-15,10,34
Feb-15,6,35
Mar-15,12,34
Apr-15,10,30
May-15,6,32
Jun-15,6,26
Jul-15,7,21
Aug-15,8,44
Sep-15,15,80
Oct-15,9,50
Nov-15,5,32
Dec-15,9,37
Jan-16,12,55
Feb-16,6,52
Mar-16,8,34
Apr-16,10,41
May-16,9,47
Jun-16,6,41
Jul-16,6,35
Aug-16,9,53
Sep-16,14,83
Oct-16,14,47
Nov-16,13,52
Dec-16,14,48
Jan-17,12,58
Feb-17,16,61
Mar-17,15,58
Apr-17,13,66
May-17,9,63
Jun-17,14,59
Jul-17,13,49
Aug-17,18,70
Sep-17,19,100
Oct-17,17,90
Nov-17,19,76
Dec-17,22,91